05_ZResidencia,05_RF1,05_RF2,05_RF3,05_RF4,05_RF5,05_Total
235,30575,37894,14492,2449,0,85409
236,749,1296,5260,3194,1558,12057
237,233,2588,4353,743,258,8175
238,3105,6299,6356,2633,867,19260
239,194,7004,6886,979,417,15480
240,1025,7511,8336,1325,1192,19389
241,1765,4395,3060,0,452,9672
242,7934,10322,6760,2096,0,27112
243,7017,17797,18762,1203,0,44779
244,17071,33134,9177,1827,1096,62304
245,5246,9132,7347,2563,302,24591
246,3420,16843,9287,423,0,29973
247,12395,35436,44172,2198,4561,98763
