18_ZOrigem,18_TrabInd,18_TrabCom,18_TrabSer,18_Educ,18_Compras,18_Saude,18_Lazer,18_ProcEmp,18_AssPess,18_Refeic,18_Total
205,10722,14511,31580,67712,6695,1441,5894,2090,5690,363,146698
206,5198,8076,20265,45017,5401,4073,2592,489,10374,0,101484
207,18348,11494,19273,56071,7159,9115,3717,109,5393,0,130680
208,9415,10913,30689,28643,5024,2744,4861,134,6891,658,99972
209,7154,9703,19790,29491,2937,3497,5079,0,3457,0,81109
210,4701,8230,28012,33143,3187,1889,4880,519,5067,2535,92162
211,9292,15081,25805,33543,5662,4130,4093,0,11505,994,110104
212,4247,3431,16342,22383,2660,1803,878,653,1922,0,54320
213,13046,12231,16169,23230,6791,3193,2701,256,6901,1704,86223
214,4017,3373,12995,22523,1358,756,1302,0,4688,62,51074
215,2307,6326,23413,26040,1899,4866,4178,0,4319,135,73482
216,6883,2550,17555,22586,6698,2509,5477,0,5194,124,69576
217,3060,2907,15474,28594,2059,4360,2744,0,4818,0,64014
218,6639,11431,39752,52189,2908,6093,5488,639,8265,2153,135557
219,12615,12413,17839,33889,2397,3857,2458,298,6793,0,92558
220,2428,4521,14670,19952,2982,2110,9071,63,6976,457,63230
221,4454,14609,23952,27671,2541,1914,3621,1583,9188,0,89533
222,5505,6185,23311,20610,5434,4148,9104,243,3374,190,78105
223,7725,2571,11758,11518,3181,1014,1208,0,3081,0,42056
224,500,62,2050,7447,282,0,796,0,1535,0,12672
225,5550,3166,11665,21816,3595,2048,1635,172,2791,0,52438
226,5866,9398,42073,79611,7449,6265,14840,0,9680,618,175800
227,5785,10618,25747,30896,10838,996,1453,0,5035,0,91367
228,3236,2527,13982,24816,3277,4695,4373,687,1807,0,59400
229,12180,13997,58011,107806,14594,9779,10658,0,18224,419,245669
230,3786,13526,27151,60323,2358,1762,5267,1026,5150,844,121194
231,3980,4344,10810,23019,4095,954,661,162,1993,0,50016
232,6083,4200,16891,35345,3397,2184,1237,195,5437,0,74969
233,8070,12121,13871,43006,4850,4704,3210,0,4617,0,94449
234,6984,8414,30968,43479,1496,8411,2442,465,2363,646,105669
235,9057,14820,24577,37729,5679,2104,2239,0,5020,0,101225
236,3263,2838,13706,11687,2434,2958,1437,47,2189,1791,42348
237,2896,6028,16524,4767,6716,1872,3857,230,4420,770,48080
238,1701,3402,15450,9076,2047,2187,2976,0,5244,1514,43596
239,4417,6769,21081,25352,4291,9897,3559,121,4204,1259,80949
240,2065,4805,19232,14491,2409,3372,3964,0,3947,1670,55955
241,6466,3002,9351,6877,898,1017,759,58,918,737,30083
242,11895,3501,13027,13612,1095,5266,1134,0,2703,387,52620
243,5453,9020,22027,42712,2449,1072,4469,0,5881,590,93674
244,8568,9060,20950,40859,3546,9939,10304,0,7275,532,111032
245,5070,2550,11038,8710,1377,1336,255,127,1145,1188,32796
246,2750,5321,11431,23318,405,2319,243,0,1104,0,46890
247,6589,18215,47293,88490,9569,7775,6330,0,12514,2585,199361
248,251,508,1321,245,0,0,2700,0,0,957,5983
249,7616,5051,10632,24306,5942,3847,2355,0,4979,0,64729
250,2162,7181,14136,10623,4628,2119,3443,0,1724,403,46419
251,478,2942,13908,13685,247,649,2542,0,3989,39,38478
252,2774,7436,16829,10600,1732,1921,500,0,2144,1013,44948
253,4280,2107,2580,1927,632,90,853,0,751,0,13221
254,4897,11576,33286,42712,1072,1281,2060,1794,4078,2415,105170
255,7983,20178,27587,45447,7962,2936,3422,0,14098,146,129760
256,4673,2897,12996,14369,2695,1685,1775,0,1745,505,43340
257,7534,4868,15970,21967,2567,1322,1751,0,4195,0,60173
258,11113,11498,21105,34140,5137,3668,1905,0,4274,1719,94559
259,4941,5942,9923,21360,1841,1909,1707,0,1109,0,48732
260,5063,3844,11421,22396,8183,712,3917,0,1434,0,56969
261,6195,8720,24867,29674,3358,1304,2854,756,6742,0,84470
262,11894,3618,32313,50367,5562,5410,2219,0,2961,30,114372
263,5081,10837,29908,47160,4500,5359,5006,0,8398,0,116249
264,4833,14751,27926,33747,7244,4217,3332,0,12129,0,108178
265,4397,7135,22378,48050,1509,5375,3544,0,7548,0,99937
266,1838,1591,7069,8761,759,465,1272,212,163,0,22129
267,4508,3045,10622,21404,5177,1289,3463,1126,3764,263,54660
268,2345,3060,16233,9193,3895,1109,1515,36,1790,608,39785
269,4226,3265,24261,12964,6894,2338,6819,2319,2121,1816,67022
270,1379,1853,11133,6748,489,1279,1621,0,2007,1015,27524
271,407,958,17084,874,477,159,352,0,2089,396,22796
